Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,FT50,PDF
Acquisition Values and Optimal Financial (In)Flexibility.,"Hege, Ulrich; Hennessy, Christopher",Review of Financial Studies,08939454,,Jul2010,23,7,2865,35,51648797,,Oxford University Press / USA,Article,FINANCE; Financial research; Corporate debt -- Ratings & rankings; Corporate finance; Debt financing (Corporations); First-mover advantage; Venture capital; Consumer Lending; Consolidation & merger of corporations,,"This article analyzes optimal financial contracts for an incumbent and potential entrant accounting for prospective asset mergers. Exercising a first-mover advantage, the incumbent increases his share of surplus by issuing public debt that appreciates in the event of merger. Incumbent debt reduces the equilibrium value of entrant assets and thus reduces the return to (likelihood of) entry through two channels: venture capitalists recover less in default and ownership rights provide weaker managerial incentives. High incumbent leverage has a countervailing cost, since the resulting debt overhang prevents ex post efficient mergers if merger surplus is low. Event risk covenants limiting counterparty debt are optimal for the incumbent, further limiting the entrant's share of merger surplus. A poison-put covenant is also optimal for the incumbent, allowing him to extract the same surplus with lower debt face value.",FT50,Y
Considerations for a Stronger First Mover Advantage Theory.,"Suarez, Fernando F.; Lanzolla, Gianvito",Academy of Management Review,03637425,,Jan2008,33,1,269,2,27752960,10.5465/AMR.2008.27752960,Academy of Management,Article,First-mover advantage; Market share; New product development; Marketing; Business research; Time to market (New products); Business literature; Business planning; Strategic planning; Product management research; Commercial products; Research and Development in the Social Sciences and Humanities; Commodity Contracts Dealing; Commodity Contracts Brokerage; Marketing Consulting Services; Competition; Research methodology,,"In this article the authors answer a critique, published elsewhere in the magazine, of their article ""The Role of Environmental Dynamics in Building a First Mover Advantage Theory."" They claim that the criticism of their business theory was not valid on the grounds that the critics did not have a firm grasp of the business literature and concepts on which original article was based. They reject the notion posited by the critics that new product management is a function of strategic choice. Aspects of their research and methodology are discussed.",FT50,Y
First mover advantage through franchising,"Michael, Steven C.",Journal of Business Venturing,08839026,,Jan2003,18,1,61,20,8723846,,Elsevier B.V.,Article,Franchises (Retail trade); Restaurants; Service industries; All other miscellaneous general merchandise stores; All Other Miscellaneous Store Retailers (except Tobacco Stores); All other miscellaneous store retailers (except beer and wine-making supplies stores); All other building equipment contractors; Commercial and Institutional Building Construction; Full-Service Restaurants; Service Establishment Equipment and Supplies Merchant Wholesalers,First mover advantage; Franchising; Organizational form; Restaurant industry,"Franchising has been argued to be a technique for entrepreneurs in service industries to assemble resources in order to rapidly create large chains and gain first mover advantage. Whether and how such first mover advantage is created is the subject of this paper. Using theories from strategic management and marketing, it is argued that the first mover advantage initially takes the form of a lead in the number of retail outlets, followed by a market share lead, and, finally, superior profitability. A structural equations model is specified, and empirical results from the restaurant industry support the model''s predictions. Implications for research and practice are discussed.",FT50,Y
First-mover advantage in an Internet-enabled market environment: conceptual framework and propositions.,"Yada, Manjit S.; Varadarajan, Rajan; Shankar, Venkatesh",Journal of the Academy of Marketing Science,00920703,,Fall2008,36,3,293,16,33950218,,Springer Science & Business Media B.V.,Article,Electronic commerce; First-mover advantage; Internet marketing; Market share; New product development; Consumers; Electronic shopping and mail-order houses; Electronic Shopping; Marketing Consulting Services,,"The article discusses the evolution of the competitive market environment from a physical market environment (PME) to an Internet-enabled market environment (IME), examining the question of whether first-mover advantage created in the PME holds in the IME, with special focus give to information products. Topics include a conceptual framework developed from sources in extant literature, comparative effects in the IME relative to the PME, and the achievement of superior positions in resources. Getting close to customers quickly is also discussed.",FT50,Y
First-Mover Advantage Through Distribution: A Decomposition Approach.,"Nishida, Mitsukuni",Marketing Science,07322399,,Jul/Aug2017,36,4,590,20,124453064,10.1287/mksc.2017.1029,INFORMS: Institute for Operations Research,Article,Endogeneity (Econometrics); Convenience Stores; Market share -- Economic aspects; Instrumental variables (Statistics); Selling ability testing; Convenience stores -- Economic aspects,chain; convenience store; distribution; first-mover advantage; IV estimation; market share; order of entry; pioneering advantage; retailing,"Whereas the extant literature on entry-order effects establishes that first entrants often earn higher market shares ('market-share advantage'), the literature on distribution suggests that increased distribution has a positive effect on sales. Can distribution help us better understand entry-order effects on market shares? This paper examines how the first entrant in a geographical market achieves a market-share advantage through distribution. For this purpose, I propose a simple method of decomposing sales into physical distribution and sales performance. The data come from a manually collected panel on six major Japanese convenience-store chains from 47 geographical markets between 1991 and 2007. Using an instrumental variable approach to address the potential endogeneity of entry order, I find first entrants have a positive market-share advantage over later entrants. Specifically, the physical distribution, measured by the number of outlets in a market, drives most of the advantage. Meanwhile, the positive effect on sales performance for the first chain brand becomes nonexistent when I control for the outlet density. This paper further finds that the density of own outlets is nonmonotonically (inverted U) related to sales performance per outlet, suggesting dynamic outlet expansion faces a trade-off between the business-stealing effect in a chain ('cannibalization') and the advertising effect through repetition. Data and the online appendix are available at .",FT50,Y
"First-mover advantage: A synthesis, conceptual framework, and research propositions.","Kerin, Roger A.; Varadarajan, P. Rajan; Peterson, Robert A.",Journal of Marketing,00222429,,Oct92,56,4,33,20,9302070973,,American Marketing Association,Article,Market entry; New product development; Competitive advantage in business; Market share; Marketing strategy; Marketing research; Product management; Market positioning; Marketing; Industrial research; Marketing Consulting Services; Marketing Research and Public Opinion Polling,,"Numerous conceptual and empirical studies advance the notion that first movers achieve long-term competitive advantages. These studies purport to demonstrate the presence of a systematic direct relationship between order of entry for products, brands, or businesses and market share. However, an objective assessment of the literature suggests that this view must be qualified. A broadened perspective is presented that highlights the complexity of this phenomenon and suggests that first-mover status may or may not produce sustainable advantages because of a multiplicity of controllable and uncontrollable forces. A conceptual framework identifying factors that underlie first-mover advantage and product-market contingencies that moderate the order of entry-competitive advantage relationship is proffered. Several research propositions relevant for marketing theory and practice are presented.",FT50,Y
FIRST-MOVER ADVANTAGE: THE OPPORTUNITY CURVE.,"Patterson, William C.",Journal of Management Studies,00222380,,Sep93,30,5,759,19,9402182597,,Wiley-Blackwell,Article,First-mover advantage; Strategic planning; Barriers to entry (Industrial organization); Industrial management; Market share; Management science; Marketing strategy; Competitive advantage in business; MANAGEMENT; Economies of scale; Business intelligence; Industrial costs; Time management -- Economic aspects,,A model depicting first-mover dynamics is proposed wherein certain types of strategic barriers activated by the first-mover strategy figure prominently in preserving benefits in the time dimension. Strategic barriers conferring singularity (i.e. one-time benefit) are considered to be the most effective preservers of first-mover advantage. The theoretical model is tested empirically in a study of six major industries. Benefits operationalized as industry share and profit share were found to decline consistently with industry age according to an exponential function designated the opportunity curve.,FT50,Y
Investor flows and fragility in corporate bond funds.,"Goldstein, Itay; Jiang, Hao; Ng, David T.",Journal of Financial Economics,0304405X,,Dec2017,126,3,592,22,126392222,10.1016/j.jfineco.2016.11.007,Elsevier B.V.,Article,Capitalists & financiers; Corporate bonds; Bond funds; Financial performance; Open-End Investment Funds; Sensitivity analysis,Financial fragility; G01; G20; G23; Payoff complementarities,"This paper explores flow patterns in corporate bond mutual funds. We show that corporate bond funds exhibit a concave flow-to-performance relationship: their outflows are sensitive to bad performance more than their inflows are sensitive to good performance. Moreover, corporate bond funds tend to have greater sensitivity of outflows to bad performance when they have more illiquid assets and when the overall market illiquidity is high. These results point to the possibility of fragility in the fast-growing corporate bond market. The illiquidity of corporate bonds may generate a first-mover advantage among investors in corporate bond funds, amplifying their response to bad performance.",FT50,Y
Is there a first mover advantage in science? Pioneering behavior and scientific production in nanotechnology.,"Sabatier, Mareva; Chollet, Barthélemy",Research Policy,00487333,,Mar2017,46,2,522,12,121157642,10.1016/j.respol.2017.01.003,Elsevier B.V.,Article,Nanotechnology; Research and Development in Biotechnology; Nanoscience; Bibliometrics; Nanophotonics; Condensed matter physics,030; C31; First mover advantage; L31; Pioneering behavior; Scientific production,"This article investigates whether pioneers in a research field have a sustainable first mover advantage in publications. Combining bibliometric (publications, citations, co-authorship) with survey data on 495 nanotechnology researchers, we analyzed career attributes, professional context and production overtime. Our econometric estimates highlight two main results. First, pioneering behavior is not exogenous: it is more probable among scientists who are already established in their “mother-discipline” (before entering nanotechnology), have a strong collaboration network, and have easy access to field-specific resources. Second, even after controlling for the endogeneity of entry timing, we find a strong first mover advantage: pioneers in the emerging field exhibit significantly higher scientific production in that field in the long run.",FT50,Y
"LEGITIMACY VACUUM, STRUCTURAL IMPRINTING, AND THE FIRST MOVER DISADVANTAGE.","DOBREV, STANISLAV D.; GOTSOPOULOS, ALEKSIOS",Academy of Management Journal,00014273,,Oct2010,53,5,1153,22,54533229,10.5465/AMJ.2010.54533229,Academy of Management,Article,New business enterprises; Organizational behavior; Industrial organization (Management); Organizational structure; Organizational sociology research; Organizational inertia; Organizational learning; Marketing strategy; Market entry; Management science research; Corporate culture; Organizational ecology,,"Unfavorable conditions at founding may result in consistently lower survival chances for new firms. We focus on the effect of market entry in the early years of an industry, when clarity about the form and function of a new category of firms is lacking. This population-level legitimacy vacuum effect not only adversely affects the fates of new entrants in an emerging industry but also becomes imprinted in their organizational structures and persists even as the industry matures. These ideas are integrated with received theory in organizational ecology and help to extend broader notions of structural imprinting and first mover advantage in organization and management theory.",FT50,Y
